178;arms_factory;2408.00;11.00;529.00;4.40;0
178;arms_factory;2425.00;10.85;554.00;0.79;0
178;arms_factory;2474.00;12.00;529.00;3.81;0
178;arms_factory;2431.00;10.85;554.00;0.19;0
178;arms_factory;2417.00;11.00;532.00;2.85;0
178;arms_factory;2424.00;10.60;548.00;4.41;0
178;industrial_complex;2478.00;11.95;524.00;2.25;0
178;industrial_complex;2392.00;10.93;488.00;3.46;0
178;industrial_complex;2422.00;11.12;527.00;1.30;0
178;industrial_complex;2407.00;11.25;510.00;2.86;0
178;industrial_complex;2371.00;10.40;485.00;5.52;0
178;industrial_complex;2383.00;10.60;484.00;1.90;0
178;air_base;2433.00;11.50;576.00;6.03;0
178;supply_node;2441.00;10.85;554.00;2.32;0
178;supply_node;2426.00;11.05;530.00;5.27;0
178;supply_node;2405.00;11.35;511.00;0.46;0
178;supply_node;2399.00;11.10;468.00;4.50;0
178;supply_node;2432.00;12.28;485.00;1.15;0
178;supply_node;2449.00;11.80;529.00;2.63;0
178;supply_node;2382.00;10.68;520.00;0.39;0
178;supply_node;2365.00;10.12;492.00;1.87;0
178;supply_node;2388.00;10.80;488.00;4.80;0
178;supply_node;2431.00;11.45;576.00;2.56;0
178;supply_node;2405.00;10.80;537.00;4.04;0
178;supply_node;2416.00;10.68;559.00;0.69;0
178;supply_node;2468.00;12.38;523.00;3.28;0
178;supply_node;2435.00;11.85;509.00;6.21;0
178;supply_node;2411.00;11.88;491.00;2.87;0
178;supply_node;2371.00;10.30;471.00;5.45;0
178;supply_node;2421.00;12.07;466.00;2.10;0
178;supply_node;2385.00;10.20;452.00;3.58;0
178;naval_base;2355.00;9.50;477.00;-1.82;3898
178;naval_base;2356.00;9.75;479.00;-1.14;8110
178;bunker;2387.00;10.82;492.00;4.64;0
178;bunker;2388.00;11.00;508.00;2.48;0
178;bunker;2484.00;11.57;526.00;0.32;0
178;bunker;2363.00;10.10;470.00;0.43;0
178;bunker;2403.00;10.50;545.00;4.55;0
178;bunker;2424.00;11.10;557.00;0.93;0
178;bunker;2415.00;11.45;502.00;2.49;0
178;bunker;2432.00;12.15;502.00;5.15;0
178;bunker;2430.00;11.43;570.00;2.99;0
178;bunker;2429.00;12.40;496.00;4.20;0
178;bunker;2420.00;11.43;514.00;0.94;0
178;bunker;2391.00;10.45;454.00;3.60;0
178;bunker;2455.00;11.60;541.00;6.26;0
178;bunker;2411.00;11.45;464.00;4.10;0
178;bunker;2421.00;11.40;518.00;5.66;0
178;bunker;2351.00;9.80;490.00;2.05;0
178;bunker;2448.00;11.20;567.00;4.71;0
178;bunker;2420.00;12.10;479.00;2.55;0
178;coastal_bunker;2355.00;9.50;478.00;-1.82;0
178;coastal_bunker;2356.00;9.75;480.00;-1.14;0
178;dockyard;2354.00;9.50;482.00;-1.14;0
178;anti_air_building;2393.00;10.60;457.00;6.18;0
178;anti_air_building;2435.00;12.20;487.00;1.10;0
178;anti_air_building;2447.00;11.40;536.00;5.22;0
178;synthetic_refinery;2372.00;10.40;482.00;3.06;0
178;fuel_silo;2422.00;11.00;562.00;3.16;0
178;radar_station;2418.00;11.35;514.00;2.07;0
178;rocket_site;2442.00;11.45;531.00;3.67;0
178;nuclear_reactor;2420.00;10.70;539.00;0.05;0
178;floating_harbor;2345.64;9.50;483.07;-4.28;1870
178;floating_harbor;2348.21;9.50;476.70;1.33;3377
111;arms_factory;1267.00;10.00;965.00;0.55;0
111;arms_factory;1298.00;10.53;997.00;4.68;0
111;arms_factory;1277.00;9.90;960.00;5.89;0
111;arms_factory;1299.00;10.25;971.00;2.62;0
111;arms_factory;1341.00;10.93;1032.00;5.28;0
111;arms_factory;1327.00;11.20;1005.00;1.67;0
111;industrial_complex;1296.00;10.70;981.00;4.33;0
111;industrial_complex;1270.00;9.98;991.00;1.07;0
111;industrial_complex;1318.00;10.62;1021.00;2.27;0
111;industrial_complex;1337.00;10.95;1021.00;0.11;0
111;industrial_complex;1331.00;11.53;989.00;2.78;0
111;industrial_complex;1285.00;10.07;962.00;4.34;0
111;air_base;1284.00;10.40;987.00;2.17;0
111;supply_node;1281.00;10.07;1008.00;5.81;0
111;supply_node;1299.00;10.65;995.00;1.00;0
111;supply_node;1327.00;11.28;1001.00;3.93;0
111;supply_node;1263.00;9.98;967.00;1.70;0
111;supply_node;1332.00;10.82;1026.00;3.17;0
111;supply_node;1304.00;10.25;1020.00;6.11;0
111;supply_node;1289.00;10.50;973.00;2.41;0
111;supply_node;1268.00;10.07;985.00;5.35;0
111;supply_node;1324.00;10.03;1044.00;2.00;0
111;supply_node;1282.00;9.90;958.00;4.58;0
111;naval_base;1303.00;9.82;1032.00;-3.06;6477
111;naval_base;1279.00;9.53;1020.00;-3.14;9100
111;naval_base;1326.00;9.53;1053.00;-3.27;5583
111;naval_base;1263.00;9.57;960.00;0.00;7764
111;naval_base;1255.00;9.57;983.00;-1.36;4741
111;naval_base;1295.00;9.50;953.00;0.24;5437
111;bunker;1309.00;10.80;992.00;4.91;0
111;bunker;1330.00;10.78;1026.00;5.01;0
111;bunker;1286.00;10.03;960.00;2.85;0
111;bunker;1302.00;10.30;1014.00;5.52;0
111;bunker;1332.00;11.48;1004.00;0.79;0
111;bunker;1272.00;10.10;989.00;4.91;0
111;bunker;1292.00;10.05;962.00;1.29;0
111;bunker;1263.00;9.90;970.00;5.42;0
111;bunker;1277.00;9.85;1014.00;5.52;0
111;bunker;1324.00;10.07;1042.00;3.36;0
111;coastal_bunker;1274.00;9.50;956.00;0.24;0
111;coastal_bunker;1275.00;9.78;1012.00;-2.36;0
111;coastal_bunker;1268.00;9.50;956.00;0.43;0
111;coastal_bunker;1308.00;9.88;1035.00;-3.06;0
111;coastal_bunker;1269.00;9.80;999.00;-2.28;0
111;coastal_bunker;1327.00;9.57;1055.00;-3.27;0
111;dockyard;1266.00;9.80;995.00;-2.28;0
111;anti_air_building;1341.00;11.25;1013.00;5.08;0
111;anti_air_building;1291.00;10.30;1005.00;2.92;0
111;anti_air_building;1287.00;9.88;956.00;4.48;0
111;synthetic_refinery;1293.00;10.55;976.00;0.86;0
111;fuel_silo;1330.00;10.73;1030.00;3.52;0
111;radar_station;1300.00;10.40;1006.00;0.50;0
111;rocket_site;1292.00;10.60;990.00;2.92;0
111;nuclear_reactor;1283.00;10.40;987.00;5.59;0
111;floating_harbor;1270.05;9.50;1018.95;0.79;78
111;floating_harbor;1263.00;9.50;953.00;-3.14;1030
111;floating_harbor;1302.42;9.50;1038.98;0.08;1361
111;floating_harbor;1255.69;9.50;995.56;0.86;2216
111;floating_harbor;1325.87;9.50;1058.95;-0.12;2968
111;floating_harbor;1284.70;9.50;947.21;-2.90;3049
100;arms_factory;1353.00;10.40;1046.00;3.66;0
100;arms_factory;1383.00;10.10;1075.00;5.22;0
