1;2411.00;10.60;1068.00;small
1;2255.00;10.30;980.00;small
2;1816.00;11.20;1083.00;small
2;2055.00;10.30;925.00;small
3;1585.00;10.40;985.00;small
3;1407.00;10.50;1028.00;small
4;1718.00;9.50;755.00;small
4;1573.00;9.90;796.00;small
5;1830.00;9.88;718.00;small
5;1752.00;10.10;668.00;small
6;1970.00;10.68;618.00;small
6;2124.00;10.32;612.00;small
7;1837.00;9.82;543.00;big
7;1875.00;9.93;591.00;big
8;2315.00;9.50;518.00;big
8;2291.00;9.50;542.00;small
8;2250.00;9.80;530.00;small
9;2136.00;9.50;721.00;small
9;2216.00;9.50;869.00;small
10;1717.00;9.50;927.00;small
10;1924.00;9.50;822.00;small
11;2267.00;10.38;372.00;big
11;2222.00;10.00;417.00;big
12;2313.00;10.23;467.00;small
12;2377.00;10.40;555.00;small
13;2435.00;9.90;315.00;big
13;2363.00;10.60;379.00;big
14;2638.00;11.03;341.00;big
14;2585.00;10.50;265.00;big
14;2743.00;10.30;281.00;big
15;3061.00;9.50;411.00;big
15;2926.00;9.50;478.00;big
16;2843.00;9.50;239.00;big
16;2966.00;9.50;210.00;big
17;2348.00;10.80;898.00;big
18;2558.00;11.23;993.00;small
18;2640.00;11.62;920.00;small
19;2477.00;11.25;842.00;big
19;2502.00;10.73;669.00;big
20;2241.00;10.12;771.00;big
20;2340.00;11.40;680.00;big
21;2483.00;11.05;369.00;big
21;2490.00;10.50;293.00;big
22;2594.00;9.95;447.00;small
22;2490.00;11.57;490.00;small
22;2616.00;10.40;599.00;small
23;2660.00;10.28;434.00;small
23;2641.00;11.03;508.00;small
24;2751.00;10.75;429.00;small
24;2711.00;11.00;535.00;small
25;3028.00;10.95;165.00;small
25;2989.00;9.70;120.00;small
26;3186.00;10.65;208.00;small
26;3088.00;11.85;238.00;small
26;3079.00;10.73;95.00;small
27;2830.00;10.50;1516.00;small
27;2953.00;10.00;1655.00;small
28;2996.00;9.80;1765.00;small
28;3109.00;10.10;1890.00;small
28;2986.00;10.50;1851.00;small
29;3325.00;10.57;1892.00;big
29;3199.00;9.85;1963.00;big
30;3227.00;10.10;1513.00;big
30;3241.00;11.05;1741.00;big
31;2591.00;9.80;1524.00;big
31;2596.00;11.23;1603.00;big
32;2411.00;11.50;1368.00;big
32;2491.00;10.90;1454.00;big
33;3433.00;9.50;1702.00;small
33;3360.00;9.50;1693.00;small
34;3518.00;9.90;1735.00;big
34;3482.00;10.25;1711.00;big
35;3408.00;10.25;1262.00;big
35;3315.00;11.53;1347.00;big
35;3230.00;11.00;1168.00;big
35;3364.00;9.90;1035.00;big
36;3481.00;10.75;975.00;big
36;3517.00;10.05;1042.00;big
37;3405.00;10.60;939.00;big
37;3494.00;9.93;862.00;big
38;3366.00;9.50;1136.00;big
38;3282.00;9.50;1127.00;big
38;3412.00;9.50;1282.00;big
39;3553.00;10.07;1435.00;big
39;3550.00;9.85;1399.00;big
39;3565.00;9.98;1452.00;big
40;1897.00;10.20;1217.00;big
40;1891.00;9.95;1197.00;big
40;1879.00;10.00;1210.00;big
40;1875.00;9.93;1189.00;big
41;2456.00;10.15;1233.00;big
41;2637.00;12.50;1092.00;big
41;2538.00;10.00;1111.00;big
42;2652.00;11.50;1230.00;small
42;2528.00;11.50;1332.00;small
43;2649.00;11.62;1416.00;big
43;2739.00;12.07;1320.00;big
44;3035.00;11.10;1380.00;big
44;3169.00;11.30;1308.00;big
45;3112.00;11.57;1236.00;big
45;3011.00;11.80;1212.00;big
46;3142.00;12.28;1069.00;big
46;3068.00;11.10;1124.00;big
47;2947.00;11.43;1142.00;big
47;2978.00;12.90;1064.00;big
48;2879.00;12.23;1378.00;big
48;2894.00;11.60;1252.00;big
49;2804.00;9.90;934.00;big
49;2808.00;13.07;1091.00;big
50;3011.00;12.50;925.00;big
50;3260.00;12.10;922.00;big
51;2877.00;12.30;820.00;big
51;2821.00;12.43;767.00;big
52;2721.00;9.95;716.00;big
53;2630.00;13.05;821.00;big
53;2689.00;12.00;815.00;big
54;2881.00;11.30;656.00;big
54;2785.00;10.80;605.00;big
55;3128.00;11.03;572.00;big
55;3047.00;11.12;659.00;big
56;3195.00;12.30;715.00;big
56;3036.00;12.60;781.00;big
57;3324.00;10.98;397.00;big
57;3205.00;10.23;339.00;big
58;3270.00;10.93;544.00;big
58;3368.00;11.50;694.00;big
59;3956.00;10.55;1918.00;big
59;4111.00;10.40;1966.00;big
60;2065.00;9.50;1017.00;big
60;1950.00;9.50;1130.00;big
61;2247.00;9.50;1091.00;big
61;2357.00;9.50;1220.00;big
